episode,steps_needed
1,3000
2,3000
3,3000
4,3000
5,3000
6,3000
7,3000
8,3000
9,3000
10,3000
11,3000
12,3000
13,3000
14,3000
15,3000
16,3000
17,3000
18,3000
19,3000
20,3000
21,3000
22,3000
23,3000
24,3000
25,3000
26,3000
27,3000
28,3000
29,3000
30,3000
31,3000
32,3000
33,3000
34,3000
35,3000
36,3000
37,3000
38,3000
39,3000
40,3000
41,3000
42,3000
43,3000
44,3000
45,3000
46,3000
47,3000
48,3000
49,3000
50,3000
51,3000
52,3000
53,3000
54,3000
55,3000
56,3000
57,3000
58,3000
59,3000
60,3000
61,3000
62,3000
63,3000
64,3000
65,3000
66,3000
67,3000
68,3000
69,3000
70,3000
71,3000
72,3000
73,3000
74,3000
75,3000
76,3000
77,3000
78,3000
79,3000
80,3000
81,2010
82,1999
83,3000
84,2006
85,3000
86,2018
87,2021
88,2017
89,2038
90,1997
91,2039
92,1998
93,1995
94,2048
95,2001
96,1989
97,2027
98,2028
99,2006
100,2015
101,3000
102,2021
103,2008
104,2018
105,2019
106,1995
107,1988
108,2011
109,1993
110,3000
111,2009
112,2025
113,1997
114,2017
115,3000
116,2003
117,3000
118,3000
119,3000
120,3000
121,1983
122,2062
123,3000
124,2009
125,2003
126,3000
127,3000
128,3000
129,2012
130,1981
131,3000
132,2006
133,3000
134,1988
135,2006
136,3000
137,3000
138,2032
139,3000
140,2062
141,1969
142,1996
143,3000
144,3000
145,3000
146,2016
147,2026
148,2014
149,3000
150,3000
151,3000
152,2006
153,2010
154,3000
155,2003
156,2028
157,2027
158,2026
159,1977
160,1997
161,3000
162,1996
163,3000
164,2008
165,2008
166,2017
167,2033
168,1992
169,1995
170,2031
171,2036
172,2005
173,1966
174,1966
175,3000
176,1996
177,2019
178,2022
179,2029
180,1998
181,1991
182,3000
183,3000
184,3000
185,1991
186,3000
187,1991
188,3000
189,2000
190,3000
191,3000
192,2023
193,3000
194,3000
195,1992
196,3000
197,3000
198,1987
199,3000
200,3000
201,3000
202,2005
203,3000
204,2026
205,3000
206,3000
207,2009
208,2001
209,3000
210,3000
211,3000
212,1998
213,2055
214,3000
215,2007
216,2029
217,1996
218,3000
219,3000
220,2009
221,2014
222,3000
223,2017
224,2026
225,2001
226,3000
227,3000
228,3000
229,1995
230,1989
231,3000
232,1990
233,2001
234,3000
235,3000
236,3000
237,3000
238,1989
239,3000
240,2025
241,2021
242,1996
243,3000
244,3000
245,3000
246,3000
247,3000
248,2016
249,1994
250,1974
251,1988
252,1995
253,2024
254,3000
255,3000
256,1988
257,1988
258,3000
259,3000
260,3000
261,2007
262,3000
263,3000
264,2007
265,2033
266,1978
267,3000
268,2002
269,3000
270,2011
271,2046
272,3000
273,2006
274,1997
275,2007
276,3000
277,2002
278,3000
279,3000
280,1987
281,3000
282,2007
283,2004
284,3000
285,3000
286,3000
287,2042
288,2018
289,2010
290,2019
291,3000
292,3000
293,1994
294,1997
295,1995
296,3000
297,2016
298,3000
299,3000
300,2026
301,3000
302,2000
303,2039
304,1997
305,2009
306,3000
307,2002
308,2012
309,3000
310,2007
311,1972
312,2007
313,3000
314,2000
315,3000
316,1991
317,3000
318,3000
319,2014
320,3000
321,3000
322,3000
323,2000
324,1997
325,1993
326,1979
327,2022
328,1988
329,3000
330,3000
331,2004
332,3000
333,3000
334,3000
335,3000
336,2017
337,3000
338,2006
339,2015
340,2027
341,2022
342,3000
343,3000
344,3000
345,1972
346,2007
347,2027
348,1986
349,1994
350,2012
351,2005
352,1988
353,1997
354,3000
355,3000
356,3000
357,3000
358,3000
359,3000
360,3000
361,3000
362,3000
363,2017
364,3000
365,3000
366,3000
367,3000
368,3000
369,1980
370,1991
371,1983
372,3000
373,1994
374,1956
375,2048
376,2021
377,1993
378,3000
379,3000
380,2010
381,2008
382,1994
383,2016
384,3000
385,2024
386,2019
387,3000
388,3000
389,2054
390,3000
391,3000
392,3000
393,3000
394,3000
395,2014
396,3000
397,3000
398,3000
399,3000
400,3000
401,2027
402,3000
403,3000
404,2025
405,2017
406,1997
407,2002
408,3000
409,3000
410,3000
411,3000
412,3000
413,3000
414,2017
415,2008
416,2028
417,3000
418,1991
419,1979
420,1994
421,1996
422,1993
423,2018
424,2004
425,2028
426,1994
427,3000
428,3000
429,2017
430,2002
431,2013
432,3000
433,3000
434,3000
435,3000
436,2031
437,1985
438,3000
439,2001
440,2011
441,1983
442,3000
443,3000
444,1998
445,2008
446,3000
447,2002
448,1998
449,2030
450,3000
451,2023
452,3000
453,3000
454,2022
455,2051
456,1972
457,1987
458,1987
459,3000
460,3000
461,1992
462,1986
463,3000
464,3000
465,3000
466,1968
467,3000
468,2004
469,3000
470,3000
471,3000
472,2003
473,3000
474,1985
475,2017
476,3000
477,3000
478,2022
479,2030
480,3000
481,2031
482,1994
483,3000
484,2007
485,2004
486,2043
487,2001
488,2035
489,2018
490,3000
491,2042
492,2002
493,2020
494,3000
495,2016
496,3000
497,3000
498,2038
499,1991
500,2003
