State,Action_0,Action_1,Action_2
0,407.18130857147094,407.18130857147094,-0.27081564319
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,-0.016069444380000002,417.64688454714667,-0.2512099
10,0.0,440.5202294569928,-0.1325385505
11,0.0552203546301,462.8575103099768,-0.2326234879536131
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,396.85136800556296,-0.542,-0.13585631187803726
19,404.14487731403847,-1.327516565612047,-0.5919999469951019
20,0.091674,-1.8310272050051615,445.01445582951465
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,423.9508590221444,-0.6135506239476118,-0.26209000000000005
28,449.4481318498406,-1.4682246083146835,-0.2399041
29,472.37726893043805,-1.806508864369478,-0.2680597
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,417.64688454714667,-0.016069444380000002,-0.2512099
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,440.5202294569928,0.0,-0.1325385505
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,462.8575103099768,0.0552203546301,-0.2326234879536131
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.43582438,0.43582438,-0.12009098519362
46,0.0,0.6000000000000001,0.0
47,0.0,0.7552203546301,0.0
48,0.6000000000000001,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.7552203546301,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,412.9399113166976,-0.518435248195591,-0.2321187103
55,420.4300618231458,-1.3799230286441482,-0.327803024971
56,413.3720230826307,-1.8153835605278856,-0.120148773811574
57,449.55280328890734,-0.7016521183335034,-0.7355861159999999
58,441.121309821857,-1.342479506323441,0.062320716435718494
59,436.7990703173218,-0.33088784584077313,1.5081222240846759
60,473.0080329678877,-0.42178121895881004,-0.06918255009999999
61,476.10426252365363,-1.5938379204900002,0.17461253794944787
62,494.8454968105109,-0.2332769256561814,0.6633659747972109
63,430.95155367918625,-0.5880051468357292,-0.19518660348400002
64,461.40083452462943,-0.5184193044259414,-0.06840420451534777
65,477.11940173809205,-1.4802614982842728,-0.13365012448
66,445.17545100803426,0.3788001062596422,-0.2856881704935116
67,473.1463187022181,-1.232489314558021,-0.07829883639999999
68,479.2353858802352,-1.9646151647874954,-0.910646969405422
69,480.99464051843285,-0.36290650233,-0.20863
70,498.626159027385,-1.4389809853503581,-0.22664799999999996
71,496.6968782634499,0.48115549754954484,-0.06913794386922616
72,-0.542,396.85136800556296,-0.13585631187803726
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,-1.327516565612047,404.14487731403847,-0.5919999469951019
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,-1.8310272050051615,0.091674,445.01445582951465
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,-0.518435248195591,412.9399113166976,-0.2321187103
82,-0.7016521183335034,449.55280328890734,-0.7355861159999999
83,-0.42178121895881004,473.0080329678877,-0.06918255009999999
84,-1.3799230286441482,420.4300618231458,-0.327803024971
85,-1.342479506323441,441.121309821857,0.062320716435718494
86,-1.5938379204900002,476.10426252365363,0.17461253794944787
87,-1.8153835605278856,413.3720230826307,-0.120148773811574
88,-0.33088784584077313,436.7990703173218,1.5081222240846759
89,-0.2332769256561814,494.8454968105109,0.6633659747972109
90,8.908225104878015,8.908225104878015,80.98005254909751
91,0.0,0.11640832958309,6.177739071918172
92,1.072636705728062,0.8505603237102094,11.699819591446943
93,0.11640832958309,0.0,6.177739071918172
94,0.0,0.0,0.0
95,42.377213407059415,32.88183501713879,39.71170643182028
96,0.8505603237102094,1.072636705728062,11.699819591446943
97,32.88183501713879,42.377213407059415,39.71170643182028
98,0.0,0.0,0.0
99,402.826410225901,-0.5397487103,-0.2611
100,-0.6369146951463411,-1.1292008239834637,414.86175116947453
101,0.08517091189924453,-1.6835169538910928,439.2258075947549
102,-1.1387306065638467,-0.65972,414.45654268155556
103,-1.174928111804289,-1.3936415323414462,417.67769765467585
104,441.2407716856033,-0.6475434712013186,-0.06785571691382748
105,-1.4639566577655503,445.13859312438154,-0.011898586249706078
106,-0.7835095891355881,437.08182984917073,-0.016348685821571646
107,2.9428002635180266,430.964286416333,-0.10633936241095635
108,-0.6135506239476118,423.9508590221444,-0.26209000000000005
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,-1.4682246083146835,449.4481318498406,-0.2399041
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,-1.806508864369478,472.37726893043805,-0.2680597
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,-0.5880051468357292,430.95155367918625,-0.19518660348400002
118,0.3788001062596422,445.17545100803426,-0.2856881704935116
119,-0.36290650233,480.99464051843285,-0.20863
120,-0.5184193044259414,461.40083452462943,-0.06840420451534777
121,-1.232489314558021,473.1463187022181,-0.07829883639999999
122,-1.4389809853503581,498.626159027385,-0.22664799999999996
123,-1.4802614982842728,477.11940173809205,-0.13365012448
124,-1.9646151647874954,479.2353858802352,-0.910646969405422
125,0.48115549754954484,496.6968782634499,-0.06913794386922616
126,-0.5397487103,402.826410225901,-0.2611
127,-0.65972,-1.1387306065638467,414.45654268155556
128,445.13859312438154,-1.4639566577655503,-0.011898586249706078
129,-1.1292008239834637,-0.6369146951463411,414.86175116947453
130,-1.3936415323414462,-1.174928111804289,417.67769765467585
