episode,steps_needed
1,3000
2,3000
3,3000
4,3000
5,3000
6,3000
7,3000
8,3000
9,1912
10,1959
11,1935
12,1904
13,1906
14,1926
15,1898
16,1907
17,1919
18,1908
19,1872
20,1893
21,1878
22,1928
23,1906
24,1941
25,1929
26,1950
27,1904
28,1907
29,1900
30,1909
31,1926
32,1912
33,1913
34,1908
35,1931
36,1913
37,1950
38,1936
39,1896
40,1947
41,1860
42,1909
43,1960
44,1894
45,1933
46,1928
47,1891
48,1923
49,1946
50,1924
51,1903
52,1936
53,1906
54,1960
55,1936
56,1857
57,1911
58,1946
59,1923
60,1933
61,1952
62,1909
63,1883
64,1925
65,1901
66,1860
67,1920
68,1917
69,1876
70,1951
71,1901
72,1898
73,1910
74,1905
75,1882
76,1897
77,1903
78,1890
79,1902
80,1887
81,1919
82,1934
83,1899
84,1950
85,1897
86,1919
87,1922
88,1919
89,1905
90,1937
91,1908
92,1933
93,1880
94,1915
95,1914
96,1903
97,1942
98,1874
99,1931
100,1964
