State,Action_0,Action_1,Action_2
0,609.8050226323774,609.8064761803332,-0.271
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,-9.900000000001921e-06,620.3327667559745,-0.24229
10,-0.05381271120877462,651.590441689101,-0.2756602409375698
11,1.089846426880373,689.0841779924673,-1.3349029806711332
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,606.7861586125589,-1.1920000000000002,-0.21557980000000002
19,640.4630911651246,-3.364396534119324,-0.2318108881414815
20,672.5464116478583,-4.842438535442469,-0.21486700000000003
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,620.3315434474833,-9.900000000001921e-06,-0.24229
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,651.59096534969,-0.05381271120877462,-0.2756602409375698
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,689.0845859527149,1.0898520082555563,-1.3349030091222316
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.1,0.1,-0.1989199
37,-0.010567090379876333,0.4,-0.11476
38,0.7545195607980935,20.83271347983694,0.08318824030410292
39,0.4,-0.010567090379876333,-0.11476
40,0.0,0.0,0.0
41,0.3916787804097719,0.0,-0.13134637319824435
42,20.832874049771867,0.7545194770939703,0.0831881258577982
43,0.0,0.3916787804097719,-0.13134637319824435
44,0.0,0.0,0.0
45,616.4307355110449,-1.0528550080981136,-0.2990294041159
46,642.2766835696028,-3.722354358116822,-0.271
47,680.844174772401,-7.283436999716705,0.7417994904461302
48,650.6154923326516,-1.9194913200125368,-0.30987576110200293
49,673.2888414091501,-4.7195839606399606,-0.433207725407437
50,709.2299170211726,-8.135020844972084,1.132229007205989
51,683.2508683337394,-1.0830199,1.0054708872327602
52,716.0436761629132,-3.702755735662034,0.1301460992
53,740.312824494664,-8.810845547494468,0.246015922209161
54,-1.1920000000000002,606.7875721095711,-0.21557980000000002
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,-3.364396534119324,640.463647366021,-0.2318108881414815
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,-4.842438535442469,672.5471849632349,-0.21486700000000003
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,-1.052849015900203,616.4090855387416,-0.2984791563739
64,-1.9194913200125368,650.6147349591648,-0.30987576110200293
65,-1.0830199,683.2500856173049,1.005471178314135
66,-3.7221289595619425,642.2777294142282,-0.271
67,-4.7195839606399606,673.2905351396148,-0.42968550576158693
68,-3.70275572960878,716.0438977804362,0.1301460992
69,-7.2842344220921325,680.8445713086697,0.7417992166637349
70,-8.134952036752328,709.2299506795671,1.132229007205989
71,-8.810845447311575,740.3131721776773,0.234295857006161
72,-1.8934655235543632,-1.8935325925913382,602.364334719143
73,-1.3931750535853817,-2.864379284092432,634.6872522444404
74,-1.084,-7.429786481935128,672.2320803584964
75,-2.863948318534453,-1.3931750535853817,634.6881334821761
76,-2.382911020508929,-2.411786637608929,658.7530773165525
77,-3.460066190061776,-9.474812357390643,692.7385072956143
78,-7.4297399079939215,-1.084,672.2326717146688
79,-9.474707086988492,-3.4600661951226934,692.7384840307407
80,-7.363339007619075,-7.363339041254718,721.9768464396885
