step,sim_time,sim_time_str,drain_count
0,0.0,00:00,0
1,0.0,00:00,0
2,0.0,00:00,0
3,0.0,00:00,0
4,0.0,00:00,0
5,0.0,00:00,0
6,0.0,00:00,0
7,0.0,00:00,0
8,0.0,00:00,0
9,0.0,00:00,0
10,0.0,00:00,0
11,0.0,00:00,0
12,0.0,00:00,0
13,0.0,00:00,0
14,0.0,00:00,0
15,0.0,00:00,0
16,0.0,00:00,0
17,0.0,00:00,0
18,0.0,00:00,0
19,0.0,00:00,0
20,0.0,00:00,0
21,0.0,00:00,0
22,0.0,00:00,0
23,0.0,00:00,0
24,0.0,00:00,0
25,0.0,00:00,0
26,0.0,00:00,0
27,0.0,00:00,0
28,0.0,00:00,0
29,0.0,00:00,0
30,0.0,00:00,0
31,0.0,00:00,0
32,0.0,00:00,0
33,0.0,00:00,0
34,0.0,00:00,0
35,0.0,00:00,0
36,0.0,00:00,0
37,0.0,00:00,0
38,0.0,00:00,0
39,0.0,00:00,0
40,0.0,00:00,0
41,0.0,00:00,0
42,0.0,00:00,0
43,0.0,00:00,0
44,0.0,00:00,0
45,0.0,00:00,0
46,0.0,00:00,0
47,37150.81505117709,619:11,10
48,37150.81505117709,619:11,10
49,37150.81505117709,619:11,10
50,37150.81505117709,619:11,10
51,37150.81505117709,619:11,10
52,37150.81505117709,619:11,10
53,37150.81505117709,619:11,10
54,37150.81505117709,619:11,10
55,43474.81505117709,724:35,20
56,43474.81505117709,724:35,20
57,43474.81505117709,724:35,20
58,43474.81505117709,724:35,20
59,43474.81505117709,724:35,20
60,43474.81505117709,724:35,20
61,43474.81505117709,724:35,20
62,48997.20055288299,816:37,30
63,48997.20055288299,816:37,30
64,48997.20055288299,816:37,30
65,48997.20055288299,816:37,30
66,48997.20055288299,816:37,30
67,48997.20055288299,816:37,30
68,48997.20055288299,816:37,30
69,48997.20055288299,816:37,30
70,48997.20055288299,816:37,30
71,48997.20055288299,816:37,30
72,48997.20055288299,816:37,30
73,48997.20055288299,816:37,30
74,48997.20055288299,816:37,30
75,48997.20055288299,816:37,30
76,48997.20055288299,816:37,30
77,48997.20055288299,816:37,30
78,48997.20055288299,816:37,30
79,48997.20055288299,816:37,30
80,48997.20055288299,816:37,30
81,48997.20055288299,816:37,30
82,48997.20055288299,816:37,30
83,48997.20055288299,816:37,30
84,48997.20055288299,816:37,30
85,48997.20055288299,816:37,30
86,48997.20055288299,816:37,30
87,48997.20055288299,816:37,30
88,48997.20055288299,816:37,30
89,48997.20055288299,816:37,30
90,48997.20055288299,816:37,30
91,48997.20055288299,816:37,30
92,48997.20055288299,816:37,30
93,48997.20055288299,816:37,30
94,48997.20055288299,816:37,30
95,75037.52508529514,1250:38,40
96,75037.52508529514,1250:38,40
97,75037.52508529514,1250:38,40
98,75037.52508529514,1250:38,40
99,75037.52508529514,1250:38,40
100,75037.52508529514,1250:38,40
101,75037.52508529514,1250:38,40
102,75037.52508529514,1250:38,40
103,75037.52508529514,1250:38,40
