episode,steps_needed
1,3000
2,3000
3,3000
4,3000
5,3000
6,3000
7,3000
8,1956
9,1924
10,1880
11,1938
12,1918
13,1979
14,1927
15,1918
16,1912
17,1879
18,1961
19,1900
20,1936
21,1902
22,1890
23,1945
24,1926
25,1893
26,1913
27,1913
28,1913
29,1922
30,1915
31,1907
32,1914
33,1911
34,1933
35,1939
36,1892
37,1912
38,1904
39,1877
40,1906
41,1886
42,1904
43,1939
44,1955
45,1901
46,1951
47,1937
48,1903
49,1977
50,1943
51,1977
52,1903
53,1945
54,1937
55,1943
56,1927
57,1892
58,1878
59,1939
60,1903
61,1910
62,1904
63,1926
64,1896
65,1942
66,1906
67,1895
68,1918
69,1898
70,1942
71,1921
72,1931
73,1934
74,1883
75,1912
76,1936
77,1895
78,1927
79,1943
80,1904
81,1944
82,1960
83,1864
84,1956
85,1927
86,1932
87,1919
88,1939
89,1930
90,1942
91,1918
92,1898
93,1920
94,1953
95,1918
96,1914
97,1926
98,1919
99,1944
100,1856
