State,Action_0,Action_1,Action_2
0,600.1675338794807,600.1674862879763,-0.265935348274021
1,602.5330144883416,602.5308781253923,-0.2596213335603136
2,591.7672127760919,591.7692509062712,-0.271
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.09616286596763345,618.7182408121009,-0.20333477007100004
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,-0.091419070863719,640.0955856243232,-0.26840038276
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.04855752000000001,682.1835989053423,-0.066268
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,604.556714802265,-1.15223582,-0.2670837133826701
56,598.7715612420543,-1.042,-0.2819793553546762
57,0.0,0.0,0.0
58,637.1776565426777,-3.977206980190197,-0.17451042807095463
59,637.0385350444811,-4.327117597725742,-0.29715072832279515
60,0.0,0.0,0.0
61,671.7370423724899,-7.610560975503926,1.0990269418670613
62,673.746398724814,-10.775371770913889,-0.066268
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
67,0.0,0.0,0.0
68,0.0,0.0,0.0
69,0.0,0.0,0.0
70,0.0,0.0,0.0
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,618.7196381314997,0.09616286596763345,-0.20333477007100004
