episode,steps_needed
1,3000
2,3000
3,3000
4,3000
5,3000
6,3000
7,3000
8,3000
9,3000
10,3000
11,3000
12,3000
13,3000
14,3000
15,3000
16,3000
17,3000
18,3000
19,3000
20,3000
21,3000
22,3000
23,3000
24,3000
25,3000
26,3000
27,3000
28,3000
29,3000
30,3000
31,3000
32,3000
33,3000
34,3000
35,3000
36,3000
37,3000
38,3000
39,3000
40,3000
41,3000
42,3000
43,3000
44,3000
45,2044
46,3000
47,3000
48,2007
49,3000
50,3000
51,3000
52,2019
53,3000
54,3000
55,1986
56,3000
57,3000
58,2040
59,3000
60,3000
61,3000
62,3000
63,3000
64,3000
65,2008
66,3000
67,3000
68,3000
69,3000
70,3000
71,2016
72,3000
73,3000
74,2010
75,3000
76,2041
77,3000
78,2022
79,2014
80,3000
81,2029
82,2027
83,2017
84,3000
85,3000
86,3000
87,3000
88,3000
89,3000
90,3000
91,3000
92,3000
93,1986
94,3000
95,3000
96,3000
97,2025
98,2052
99,3000
100,3000
101,3000
102,3000
103,3000
104,3000
105,3000
106,3000
107,3000
108,3000
109,3000
110,2036
111,3000
112,1983
113,3000
114,2029
115,1998
116,2042
117,3000
118,3000
119,2016
120,3000
121,3000
122,3000
123,3000
124,3000
125,1986
126,3000
127,3000
128,3000
129,3000
130,2042
131,3000
132,3000
133,3000
134,3000
135,3000
136,3000
137,3000
138,3000
139,2012
140,3000
141,3000
142,3000
143,2043
144,3000
145,2027
146,2025
147,3000
148,3000
149,3000
150,3000
